phase,condition,intervention_type,study_design,sponsor_type,enrollment,enrollment_type,status,gender,location,masking,duration
6,14863,6,1,6,0.0,0,1,0,2465,3,1065.0
2,11699,6,1,6,148.0,0,0,0,206,1,702.0
5,12082,0,1,6,120.0,0,0,1,1726,3,212.0
3,14512,6,2,6,0.0,0,1,0,2247,1,377.0
6,14783,6,1,6,62.0,0,0,0,157,0,425.0
3,15770,6,1,3,25.0,0,1,2,2465,1,488.0
3,15433,6,1,5,5.0,0,1,1,1457,0,2160.0
3,15904,6,0,7,43.0,0,0,0,1617,1,427.0
3,2776,6,1,6,22.0,0,1,0,1093,4,2192.0
3,6540,6,2,6,22.0,0,0,0,1621,1,2040.0
5,2168,6,1,3,211.0,0,1,0,1621,2,1118.0
6,13256,5,1,6,109.0,0,0,1,2465,0,123.0
1,14631,6,2,5,10.0,0,0,0,812,1,503.0
6,4352,6,1,3,0.0,0,1,0,642,0,1076.9030855527424
3,16652,6,2,6,10.0,0,1,0,1807,1,670.0
5,14426,6,2,3,824.0,0,0,0,432,1,275.0
3,7795,1,1,6,150.0,0,0,1,260,3,3303.0
3,13246,6,1,6,0.0,0,1,0,2465,2,911.0
6,7465,6,1,6,0.0,0,1,0,1696,1,2740.0
6,5527,6,1,6,100.0,0,0,0,2465,1,724.0
5,15695,6,1,6,48.0,0,1,0,232,4,1613.0
2,19063,6,1,6,0.0,0,1,0,2465,1,396.0
6,16700,6,1,6,298.0,2,1,0,2465,1,1461.0
3,7554,0,1,5,620.0,1,0,2,1523,3,2010.0
1,1853,6,2,6,0.0,0,1,0,1458,1,0.0
5,15933,6,1,5,119.0,0,1,0,83,4,641.0
1,12556,6,0,3,5.0,0,1,0,232,1,458.0
5,11532,6,1,6,40.0,0,0,2,1133,0,880.0
2,15770,6,2,5,6.0,0,1,2,432,1,579.0
6,10811,3,2,3,155.0,0,1,0,2246,1,1035.0
1,12271,6,0,3,35.0,1,1,0,157,1,811.0
1,5198,6,2,3,6.0,0,0,2,2465,1,42.0
1,5523,0,1,5,200.0,0,1,0,2465,3,1095.0
6,5198,6,0,6,1.0,0,1,0,83,1,306.0
1,8057,6,1,3,36.0,0,0,0,1726,1,30.0
6,16901,6,1,3,418.0,0,0,0,1726,2,64.0
6,11482,6,1,3,135.0,0,0,1,2465,1,1217.0
5,4993,6,1,3,682.0,0,0,0,157,2,1675.0
3,10414,6,2,3,8.0,0,1,0,2247,1,547.0
2,13082,6,2,3,18.0,0,1,0,432,1,769.0
3,13928,1,1,3,104.0,0,0,0,432,0,668.0
1,14956,6,0,3,2.0,0,1,0,2465,1,638.0
4,19866,5,1,6,80.0,0,0,0,1517,1,243.0
5,8493,6,1,3,759.0,0,0,0,83,0,1400.0
5,12167,6,1,3,125.0,0,0,0,2465,2,1835.0
5,14166,6,1,3,5.0,0,1,0,2362,4,1126.0
3,14892,6,1,3,35.0,0,0,0,432,2,150.0
5,13855,6,1,6,0.0,0,1,0,1807,2,517.0
2,12167,3,1,1,20.0,0,1,0,1938,3,0.0
0,7315,6,0,6,6.0,0,1,0,2247,1,727.0
3,14102,6,1,6,0.0,0,1,0,1089,2,1076.9030855527424
3,6540,9,2,5,31.0,0,0,0,2247,1,4049.0
5,12400,6,2,5,7.0,0,1,0,1457,1,752.0
4,9545,6,1,6,90.0,0,0,1,2465,4,334.0
5,2669,6,1,6,56.0,0,1,0,2365,1,791.0
1,1338,6,1,6,30.0,0,0,0,1579,1,61.0
5,15770,6,1,3,2577.0,0,1,2,157,4,1216.0
1,8057,6,1,3,12.0,0,0,0,1599,1,122.0
3,12650,1,2,6,46.0,0,1,0,1621,1,2992.0
6,5523,6,1,6,344.0,0,0,0,2465,2,1216.0
3,4148,6,2,6,7.0,0,1,0,880,1,638.0
6,845,9,1,6,18.0,2,0,0,1742,0,153.0
1,10913,6,2,6,5.0,0,1,0,2425,1,792.0
3,10151,6,1,6,16.0,0,1,0,2425,1,2345.0
3,16878,6,1,3,111.0,0,0,0,83,2,275.0
1,12477,6,1,3,25.0,0,1,0,668,1,1526.0
5,2492,6,2,3,53.0,0,0,0,1719,1,2373.0
3,15618,6,2,4,21.0,0,1,0,880,1,1426.0
